InvoiceNo,ItemNo,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,ProjectCode
SO2002075,I2R0020087,PISTON ROD ASS'Y FOR RC92006 N0001(TOKU),1,09/05/2020,32340,CUSS006,PA200178
SO2002135,I2S0030079,SEAL KIT FOR CJT210-TC80A1035B-BDAA-EKL-H-VU,1,09/05/2020,11875,CUST055,PA200214
SO2002151,I2C0010002,CARTRIDGE FILTER     FXN-4080CG-001ET,4,09/05/2020,5194,CUSS006,PC200222
SO2002154,I2B0060005,BLADE                      WA 2075,5,09/05/2020,4800,CUST007,
SO2002154,I2L0010015,END LINER              3A7520A0054,6,09/05/2020,9900,CUST007,
SO2002154,I2B0020007,EYE BOLT                 9*B24A12X100 (M12X100),3,09/05/2020,250,CUST007,PB200225
SO2002154,I2L0010011,SIDE LINER              3A7520A0037A,4,09/05/2020,21000,CUST007,PB200225
SO2002154,I2S0170002,SIDE PLATE(WHEEL ASS'Y)          X-30 264,1,09/05/2020,83000,CUST007,
SO2002154,I2L0010016,TOP LINER                3A7520A0055A,2,09/05/2020,7200,CUST007,
SO2002154,I2R0040074,VIBRATION ISULATION RUBBER      KB-50-40H,2,09/05/2020,650,CUST007,PB200225
SO2002154,I2B0020282,HEX BOLT                 9*B04C10X030H(M10X30)12.9,7,09/05/2020,110,CUST007,PB200225
SO2002194,I200004756,BOLT  2C2800A2009,2,09/05/2020,10500,CUSS006,PA200243
SO2002227,I2C0070042,GREASE CUP(COVER)  MU75 A79,2,09/05/2020,5194,CUSS006,PA200267
SO2003018,I2B0020045,BOLT                                    WZ8 0300,1,09/05/2020,600,CUSS006,PB200316
SO2003096,I1P0070001,PLOW                   MU B4115,1,09/05/2020,13720,CUSS006,PA200359
SO2003158,I2B0070015,BEARING(HOUSING)           WA 3755,1,09/05/2020,57624,CUSS006,PB200394
SO2003199,I1C0070073,COVER                 MU M4018,1,09/05/2020,22638,CUSS006,PA200411
SO2003200,I1S0010002,MU B4096 - SCRAPER,1,09/05/2020,12740,CUSS006,PA200411
SO2004079,I1E0010031,WIRE MESH          25MESH 550X350,1,09/05/2020,550,CUSS006,PB200506
SO2004083,I1G0050005,STEEL GRIT  GL-10(G25-GL),500,09/05/2020,50,CUSS054,SS200137
SO2004109,I2L0010015,END LINER                  3A7520A0054,3,09/05/2020,6762,CUSS006,PB200521
SO2004133,I2N0030006,NYLON VENT  DIA.25X7H(SLIT:0.40MM.)(WHITE),500,09/05/2020,50,CUST055,PA200538
SO2004137,I2N0020008,NUT                   WZ8 0327,4,09/05/2020,118,CUSS006,PB200542
SO2004152,I2D0020005,DISTRIBUTOR            WA 1802,1,09/05/2020,1960,CUSS006,PB200552
SO2004180,I2D0020005,DISTRIBUTOR              WA 1802,2,09/05/2020,1960,CUSS006,PB200568
SO2004181,I2C0070006,FRONT COVER               3A6170A0016,1,09/05/2020,13300,CUSS006,PB200569
SO2004182,I2C0060004,CONTROL CAGE           WA 1661,2,09/05/2020,2058,CUSS006,PB200570
SO2005037,I2L0010056,END LINER             WA 2591,6,09/05/2020,7125,CUSS018,PB200273
SO2004128,I1S0110009,STEEL SHOT   SAE-280(SB-8),500,11/05/2020,45,CUSS105,SS200143
SO2004158,I1S0110020,STEEL SHOT  S-390(SB-12),2000,11/05/2020,30,CUSA005,SS200147
SO2004168,I1S0110017,ADVANCE SHOT        AD-6 (20 KGS/BAG),60,12/05/2020,235,CUSA013,SZ200150
SO2004169,I100003119,STAINLESS STEEL CUT WIRE  SUS430 CCW(0.6MM),400,12/05/2020,187,CUSA013,SS200151
SO2002260,I1C0210012,CRIB                   MU B4116,1,13/05/2020,400000,CUSS006,PA200285
SO2003070,I1R0030039,ROLLER UNIT              RC B663,2,13/05/2020,13230,CUSS006,PA200342
SO2003122,I1B0010023,BE BELT ASSEMBLY FOR 3B6C2JC2091,1,13/05/2020,72750,CUSE008,PB200374
SO2005003,I1C0160001,CALCIUM CARBONATE   ( 25KGS/BAG ),100,13/05/2020,18,CUSB022,PC200577
SO2005004,I2B0060005,BLADE           WA 2075,1,13/05/2020,4800,CUSB022,PB200578
SO2005004,I2L0010015,END LINER           3A7520A0054,2,13/05/2020,9900,CUSB022,PB200578
SO2002161,I200004850,SEAL KIT   FOR CJT210-FX160A1245B-BDAA-H-VU,1,18/05/2020,62000,CUSM001,PA200229
SO2003176,I2D0010002,DIAPHRAGM VALVE      WWDO-3-CCR,1,18/05/2020,61600,CUST054,PA200401
SO1908293,I2P0100009,PISTON  PUMP           9K90B00032090,1,19/05/2020,190000,CUST055,PA191394
SO2002150,I2P0040114,PULLEY    4P1570A0792,1,19/05/2020,17100,CUST055,PA200221
SO2002150,I2P0040024,PULLEY      4P1570A0770,1,19/05/2020,15675,CUST055,PA200221
SO2002233,I2L0010033,LINER      SCB T1580,1,19/05/2020,6000,CUSS067,PB200274
SO2002233,I2L0010172,LINER      3B7520B0089,1,19/05/2020,6400,CUSS067,PB200274
SO2002233,I2L0010035,LINER      SCB T1582,3,19/05/2020,6700,CUSS067,PB200274
SO2002233,I2L0010173,LINER      3B7520B0090,1,19/05/2020,10700,CUSS067,PB200274
SO2002233,I2L0010017,LINER      3B7520B0088,1,19/05/2020,7500,CUSS067,PB200274
SO2002233,I2L0010018,LINER       3B7520B0091,1,19/05/2020,6000,CUSS067,PB200274
SO2002233,I2L0010037,LINER       SCB T1584,1,19/05/2020,9900,CUSS067,PB200274
SO2002233,I2L0010095,LINER       3B7520B0092,1,19/05/2020,12600,CUSS067,PB200274
SO2002233,I2L0010559,LINER       3B7520B0093,1,19/05/2020,9600,CUSS067,PB200274
SO2003033,I2S0070044,WA 0100 - STOP SPRING(8PCS/SET),2,19/05/2020,7315,CUSM051,PB200326
SO2003033,I2B0060003,BLADE              WA-P 0099,2,19/05/2020,8280,CUSM051,PB200326
SO2003033,I2C0060003,CONTROL CAGE           WA 1286,2,19/05/2020,5510,CUSM051,PB200326
SO2003033,I2D0020003,DISTRIBUTOR               WA 0102,2,19/05/2020,1805,CUSM051,PB200326
SO2003127,I200000719,NYLON  VENT    9K85A000380 (DIA.30X8H),15,19/05/2020,48,CUST055,PA200379
SO2004021,I2C0220005,COMPOUND PANA CLEAN A,100,19/05/2020,230,CUSJ003,SS200129
SO2005060,I1S0110012,STEEL SHOT         S-230,450,19/05/2020,38,CUSS108,SS200156
SO2005063,I2H0060015,HOLDER      1F4300A2132,1,19/05/2020,22100,CUSU007,PA200615
SO2005063,I2N0010040,NOZZLE       1F1950A2160,1,19/05/2020,27200,CUSU007,PA200615
SO2005063,I2N0010054,NOZZLE       1F1950A2211,1,19/05/2020,29750,CUSU007,PA200615
SO2005063,I2H0060117,HOLDER       1F4300A2215,1,19/05/2020,30345,CUSU007,PA200615
SO2005063,I2S0030117,SEAL              1F2320A2019,4,19/05/2020,2975,CUSU007,PA200615
SO1908294,I200003573,BRACKET              1F6170A2535,1,20/05/2020,110000,CUST055,PA191394
SO2001175,I200003356,DRUM                           3B4060F2025,1,20/05/2020,438000,CUST018,PB200100
SO2001175,I200003357,BOLT                            3B2800F2010,6,20/05/2020,6000,CUST018,PB200100
SO2002255,I2L0010126,LINER               1C6300A2150,2,20/05/2020,29000,CUST054,PA200280
SO2002255,I2L0010127,LINER               1C6300A2443,2,20/05/2020,25500,CUST054,PA200280
SO2002255,I2L0010128,LINER               1C6300A2452,2,20/05/2020,7800,CUST054,PA200280
SO2002255,I2L0010129,LINER               1C6300A2737,2,20/05/2020,14000,CUST054,PA200280
SO2002255,I2L0010130,LINER               1C6300A2738,2,20/05/2020,18500,CUST054,PA200280
SO2002255,I2L0010131,LINER               1C6300A2739,2,20/05/2020,24000,CUST054,PA200280
SO2002255,I2W0010014,SPRING LOCK WASHER,4,20/05/2020,15,CUST054,PA200280
SO2002255,I2B0020033,PAN HEAD TAPPING SCREW,6,20/05/2020,50,CUST054,PA200280
SO2002255,I2S0060016,SPACER             1C6320A2303,2,20/05/2020,4500,CUST054,PA200280
SO2002255,I2S0060017,SPACER             1C6320A2428,2,20/05/2020,4000,CUST054,PA200280
SO2002255,I2S0060018,SPACER             1C6320A2429,2,20/05/2020,4100,CUST054,PA200280
SO2002255,I2S0060019,SPACER            1C6320A2430,4,20/05/2020,3000,CUST054,PA200280
SO2002255,I2B0020032,HEX SOCKET FLAT HEAD BOLT,870,20/05/2020,100,CUST054,PA200280
SO2002255,I2S0030075,SEAL                1C2300A2001,350,20/05/2020,70,CUST054,PA200280
SO2002255,I2L0010132,LINER               1C6300A2740,2,20/05/2020,13500,CUST054,PA200280
SO2002255,I2L0010133,LINER               1C6300A2741,2,20/05/2020,26000,CUST054,PA200280
SO2002255,I2L0010134,LINER               1C6300A2742,2,20/05/2020,26000,CUST054,PA200280
SO2002255,I2S0060013,SPACER            1C6320A2114,2,20/05/2020,4600,CUST054,PA200280
SO2002255,I2S0060014,SPACER             1C6320A2299,2,20/05/2020,4600,CUST054,PA200280
SO2002255,I2S0060015,SPACER             1C6320A2300,2,20/05/2020,4600,CUST054,PA200280
SO2003003,I200004928,STOPPER   APS C7424,1,20/05/2020,12000,CUSM001,PA200305
SO2003097,I2S0030117,SEAL                  1F2320A2019,2,20/05/2020,3500,CUST061,PA200360
SO2005072,I100001831,STAINLESS STEEL CUT WIRE  SUS201 CCW(0.3MM),50,20/05/2020,225,CUSS032,SS200159
SO2005077,I2C0060004,CONTROL CAGE           WA 1661,2,20/05/2020,1890,CUSU007,PB200624
SO2005077,I2D0020005,DISTRIBUTOR                 WA 1802,2,20/05/2020,1800,CUSU007,PB200624
SO2003074,I2R0040085,VIBRATION ISOLUTION RUBBER   C-300-B-10X30 1119L,2,21/05/2020,1400,CUSJ006,PB200345
SO2003074,I2R0040086,VIBRATION ISOLUTION RUBBER   C-300-B-15X30 1119L,2,21/05/2020,1700,CUSJ006,PB200345
SO2003074,I2R0040087,VIBRATION ISOLUTION RUBBER   C-300-B-10X30 938L,2,21/05/2020,1200,CUSJ006,PB200345
SO2003074,I2R0040088,VIBRATION ISOLUTION RUBBER   C-300-B-15X30 938L,2,21/05/2020,1500,CUSJ006,PB200345
SO2003215,I2A0040006,ARANDUM   AF#46 (25KSG/PACK),100,21/05/2020,100,CUSO004,SS200112
SO2005011,I1C0160001,CALCIUM   CARBONATE        (25 KGS/ PACK),250,21/05/2020,18,CUSS046,PC200574
SO2005055,I1C0160001,CALCIUM CARBONATE     (25KGS/PACK),100,21/05/2020,18,CUSNO36,PC200611
SO2005067,I1C0160001,CALCIUM CARBONATE,500,21/05/2020,18,CUSJ006,PC200619
SO2005080,I100009084,AIR CYLINDER,1,21/05/2020,21150,CUSU007,PA200625
SO2005080,I1C0080002,AIR CYLINDER,1,21/05/2020,13950,CUSU007,PA200625
SO2005081,I100010596,AIR CYLINDER,1,21/05/2020,22050,CUSU007,PA200625
SO2005081,I100010568,AIR CYLINDER,1,21/05/2020,14850,CUSU007,PA200625
SO1910095,I2C0060015,CAGE     WA 2555,4,22/05/2020,2700,CUSN002,PB191630
SO1910095,I200004187,BLADE    WA 3945(8PCS/SET),4,22/05/2020,6200,CUSN002,PB191630
SO2001092,I200002663,LINER   3B7520A2015,8,22/05/2020,3000,CUSN002,PB191493
SO2001092,I2C0060015,CAGE   WA 2555,4,22/05/2020,2700,CUSN002,PB191493
SO2002178,I200002994,SAND TUBE     1F1450A2037,1,22/05/2020,111000,CUST024,PA200237
SO2002179,I200002994,SAND TUBE     1F1450A2037,1,22/05/2020,111000,CUST024,PA200237
SO2002207,I2L0010317,LINER      1C6300A2630,1,22/05/2020,27435,CUSK013,PA200205
SO2002217,I2D0060002,DAMPER ASS'Y           ZS 047,1,22/05/2020,25000,CUST007,PB200262
SO2002253,I2L0010567,SEPARATE LINER      MY-B C1264,1,22/05/2020,7700,CUSB006,PB200279
SO2002254,I200001128,NEW HEAT RESISTANT & WEAR RESISTANT HOSE,1,22/05/2020,9100,CUSB006,PB200279
SO2003034,I2L0010035,LINER         SCB T1582,2,22/05/2020,6700,CUST133,PB200334
SO2003064,I200002873,BUTTERFLY VALVE     TGFJ11-10K-250,1,22/05/2020,85500,CUSK013,PA200338
SO2003130,I200004912,BEARING BASE  FOR OC 200,1,22/05/2020,32775,CUSK013,PA200381
SO2004161,I1S0110003,BRITE SHOT     AZ-8S,60,22/05/2020,252,CUST009,SZ200148
SO2004177,I1C0160001,CALCIUM CARBONATE ( 25 KGS/PACK),600,22/05/2020,18,CUSB006,PC200566
SO2005068,I1C0160001,CALCIUM   CARBONATE   (25KGS/BAG),175,22/05/2020,15,CUSA006,PC200620
SO2005069,I1S0110005,STEEL SHOT                  SAE-S70(SB-2),300,22/05/2020,48,CUSA006,SS200157
SO2005069,I1G0050001,STEEL  GRIT                   G-120 (GH-1),150,22/05/2020,45,CUSA006,SS200157
SO2005070,I1C0160001,CALCIUM CARBONATE  (25KGS/PACK),200,22/05/2020,18,CUSU001,PC200621
SO2005084,I1C0160001,CALCIUM CARBONATE  (25KGS/PACK),600,22/05/2020,17,CUSR010,PC200628
SO2003204,I1B0010023,BE BELT ASSEMBLY FOR SNC72ZA9,1,25/05/2020,69840,CUSS018,PB200413
SO2003205,I1B0010023,BE BELT ASSEMBLY FOR SNC72ZA9,1,25/05/2020,69840,CUSS018,PB200414
SO2005078,I1S0110009,STEEL SHOT    SAE-280(SB-8),300,25/05/2020,45,CUSC001,SS200160
SO2005107,I2S0030103,SEAL                 1F2300A2008,2,26/05/2020,900,CUSU007,PA200643
SO2005107,I2S0030443,SEAL                 1F2300A2005,2,26/05/2020,2700,CUSU007,PA200643
SO2002114,I200003902,SCRAPER                    BC E6122,1,28/05/2020,6200,CUSS006,PA200201
SO2002262,I200004755,V TYPE ROLLER             SNC60ZC E015,4,28/05/2020,30500,CUSS006,PB200287
SO2002265,I200004822,BUSH                CY 2547,4,28/05/2020,38500,CUSS006,PA200290
SO2003005,I200004357,LINER                      SCB D2012,1,28/05/2020,14000,CUSS006,PB200307
SO2003005,I2N0020007,NUT                         WZ8 0320,12,28/05/2020,500,CUSS006,PB200307
SO2003005,I200004363,COLLAR                  207002040012,1,28/05/2020,1900,CUSS006,PB200307
SO2003005,I200004364,DOOR                     3B5400D0001,1,28/05/2020,160000,CUSS006,PB200307
SO2003005,I2B0070166,BALL BEARING        6208LLU(9*S22*08W062),2,28/05/2020,450,CUSS006,PB200307
SO2003005,I2R0060009,Z RING                    ZF-11,2,28/05/2020,60,CUSS006,PB200307
SO2003005,I200004364,DOOR                     3B5400D0001,1,28/05/2020,160000,CUSS006,PB200307
SO2003005,I2B0070166,BALL BEARING        6208LLU(9*S22*08W062),2,28/05/2020,450,CUSS006,PB200307
SO2003005,I2R0060009,Z RING                    ZF-11,2,28/05/2020,60,CUSS006,PB200307
SO2003005,I2B0020244,HEX.BOLT                9*B02A10X025(M10X25),1,28/05/2020,30,CUSS006,PB200307
SO2003005,I200000661,U NUT                      9*N16A48(M48),2,28/05/2020,1600,CUSS006,PB200307
SO2003005,I200002714,HEX SOCKET FLAT HEAD BOLT  9*B15C10X025(M10X25),14,28/05/2020,30,CUSS006,PB200307
SO2003005,I2B0020244,HEX.BOLT                9*B02A10X025(M10X25),1,28/05/2020,30,CUSS006,PB200307
SO2003005,I200000661,U NUT                      9*N16A48(M48),2,28/05/2020,1600,CUSS006,PB200307
SO2003005,I200002714,HEX SOCKET FLAT HEAD BOLT  9*B15C10X025(M10X25),14,28/05/2020,30,CUSS006,PB200307
SO2003005,I200004357,LINER                      SCB D2012,1,28/05/2020,14000,CUSS006,PB200307
SO2003005,I2N0020007,NUT                         WZ8 0320,12,28/05/2020,500,CUSS006,PB200307
SO2003005,I200004363,COLLAR                  207002040012,1,28/05/2020,1900,CUSS006,PB200307
SO2003046,I200004887,BRACKET               CL91021 A0006,2,28/05/2020,44500,CUSS006,PA200331
SO2003051,I2P0010025,PIN                           LI92021 0002(i),1,28/05/2020,8820,CUSS006,PA200332
SO1910221,I2C0060015,CAGE        WA 2555,8,01/06/2020,2700,CUSN002,PB191720
SO1910221,I200004187,BLADE       WA 3945(8PCS/SET),8,01/06/2020,6200,CUSN002,PB191720
SO2001103,I2C0060015,CAGE      WA 2555,4,01/06/2020,2700,CUSN002,PB200062
SO2001103,I200004187,BLADE     WA 3945(8PCS/SET),4,01/06/2020,6200,CUSN002,PB200062
SO2001103,I2D0020004,DISTRIBUTOR    WA 1730,4,01/06/2020,2000,CUSN002,PB200062
SO2001103,I2L0010032,LINER      SCB T1579,2,01/06/2020,7100,CUSN002,PB200062
SO2001103,I2L0010033,LINER      SCB T1580,2,01/06/2020,6000,CUSN002,PB200062
SO2001103,I200002669,LINER      SCB T4712,2,01/06/2020,6200,CUSN002,PB200062
SO2001103,I200002670,LINER       SCB T4713,2,01/06/2020,6200,CUSN002,PB200062
SO2003016,I2G0060005,GATE   AB A0854,6,01/06/2020,15300,CUSA002,PB200314
SO2003021,I2B0060009,BLADE              3A7610A2000,2,01/06/2020,11300,CUSE008,PB200319
SO2003022,I2L0010084,LINER               3A7520A2000,2,01/06/2020,25650,CUSE008,PB200319
SO2004080,I100002867,STAINLESS STEEL CUT WIRE  SUS201 CCW(0.6MM),375,01/06/2020,225,CUSS023,SS200136
SO2004119,I2L0010048,END LINER             WA 2023,4,01/06/2020,7500,CUSO001,PB200532
SO2004119,I2L0010049,TOP LINER             WA 2024,4,01/06/2020,4600,CUSO001,PB200532
SO2005042,I1C0160001,CALCIUM CARBONATE (25 KGS/PACK),100,01/06/2020,18,CUSS108,PC200602
SO2005083,I1C0160001,CALCIUM CARBONATE  (25KGS/BAG),1800,01/06/2020,13,CUSA002,PC200627
SO2005092,I1S0110012,STEEL SHOT      S-230,450,01/06/2020,38,CUSS108,SS200164
SO2005113,I2B0060005,BLADE      WA 2075,5,01/06/2020,4800,CUSN002,PB200649
