InvoiceNo,ItemNo,Description,Quantity,InvoiceDate,UnitPrice,CustomerID
IV2002214,I0030606,TEST 37,2,06/05/2020," 10,000.00 ",CUS025
IV1911240,I0080178,TEST 38,1,07/05/2020," 162,450.00 ",CUS013
IV2001072,I0070006,TEST 39,1,07/05/2020," 13,300.00 ",CUS012
IV2002012,I0030045,TEST 40,1,07/05/2020," 9,300.00 ",CUS015
IV2002012,I010027,TEST 41,1,07/05/2020," 13,000.00 ",CUS015
IV2002081,I0030106,TEST 42,8,07/05/2020, 285.00 ,CUS013
IV2002081,I0030005,TEST 43,8,07/05/2020, 114.00 ,CUS013
IV2002081,I0060006,TEST 44,8,07/05/2020, 332.50 ,CUS013
IV2002081,I0010049,TEST 45,8,07/05/2020, 47.50 ,CUS013
IV2002082,I0100055,TEST 46,2,07/05/2020," 36,195.00 ",CUS013
IV2002083,I0020004,TEST 47,1,07/05/2020," 10,450.00 ",CUS024
IV2002088,I00003741,TEST 48,8,07/05/2020," 16,150.00 ",CUS003
IV2002106,I0010487,TEST 49,3,07/05/2020," 4,465.00 ",CUS003
IV2002138,I0010421,TEST 50,1,07/05/2020," 9,025.00 ",CUS003
IV2002138,I00000428,TEST 51,1,07/05/2020," 14,250.00 ",CUS003
IV2002140,I0010064,TEST 52,2,07/05/2020, 900.00 ,CUS015
IV2002142,I0030053,TEST 53,1,07/05/2020," 5,000.00 ",CUS015
IV2002149,I0080034,TEST 54,2,07/05/2020," 26,000.00 ",CUS001
IV2002165,I0080007,TEST 55,2,07/05/2020," 10,500.00 ",CUS133
IV2002165,I0080026,TEST 56,1,07/05/2020," 12,000.00 ",CUS133
IV2002208,I0070011,TEST 57,64,07/05/2020," 1,170.00 ",CUS050
IV2002237,I0010505,TEST 58,1,07/05/2020," 97,200.00 ",CUS001
IV2002245,I0060001,TEST 59,4,07/05/2020," 8,360.00 ",CUS009
IV2002263,I00001590,TEST 60,1,07/05/2020," 2,565.00 ",CUS004
IV2003013,I0010396,TEST 61,1,07/05/2020," 85,000.00 ",CUS001
IV2003020,I00000719,TEST 62,100,07/05/2020, 50.00 ,CUS054
IV2003030,I0220004,TEST 63,136,07/05/2020, 230.00 ,CUS052
IV2003083,I0040007,TEST 64,1,07/05/2020," 7,900.00 ",CUS009
IV2003083,I0040034,TEST 65,1,07/05/2020," 15,000.00 ",CUS009
IV2003099,I0010011,TEST 66,2,07/05/2020," 21,000.00 ",CUS012
IV2003114,I0010012,TEST 67,3,07/05/2020," 4,100.00 ",CUS013
IV2003171,I0010050,TEST 68,30,07/05/2020, 650.00 ,CUS018
IV2003245,IM0020045,TEST 69,40,07/05/2020, 345.00 ,CUS011
IV2004059,I0060002,TEST 70,2,07/05/2020," 4,320.00 ",CUS001
IV2004059,I0020002,TEST 71,3,07/05/2020, 675.00 ,CUS001
IV2004059,I0060002,TEST 72,2,07/05/2020," 2,250.00 ",CUS001
IV2004059,I0070004,TEST 73,2,07/05/2020," 5,760.00 ",CUS001
IV2004059,I0020009,TEST 74,3,07/05/2020, 315.00 ,CUS001
IV2004102,I00002795,TEST 75,3,07/05/2020," 3,690.00 ",CUS007
IV2004102,I0130001,TEST 76,3,07/05/2020, 495.00 ,CUS007
IV2004156,I0060012,TEST 77,2,07/05/2020," 4,680.00 ",CUS007
IV2004167,I0110013,TEST 78,300,07/05/2020, 32.00 ,CUS152
IV2004167,I0050014,TEST 79,50,07/05/2020, 32.00 ,CUS152
IV2005022,I0060005,TEST 80,3,07/05/2020," 4,800.00 ",CUS001
IV2005026,I0110016,TEST 81,800,07/05/2020, 250.00 ,CUS003
IV2003119,I0010001,TEST 82,4,08/05/2020," 6,700.00 ",CUS054
IV2003119,I0030008,TEST 83,1,08/05/2020," 10,300.00 ",CUS054
IV2004023,I0030008,TEST 84,1,08/05/2020," 10,300.00 ",CUS054
IV2005033,I0160001,TEST 85,175,08/05/2020, 15.00 ,CUS006
IV2005034,I0110005,TEST 86,300,08/05/2020, 48.00 ,CUS006
IV2005034,I0050001,TEST 87,150,08/05/2020, 45.00 ,CUS006
IV2001106,I0090008,TEST 88,2,09/05/2020," 51,300.00 ",CUS055
IV2001143,I00000931,TEST 89,2,09/05/2020," 39,200.00 ",CUS006
IV2002006,I0020128,TEST 90,2,09/05/2020," 24,500.00 ",CUS006
IV2002007,I0010507,TEST 91,1,09/05/2020," 46,000.00 ",CUS006
IV2002047,I0010557,TEST 92,2,09/05/2020," 75,500.00 ",CUS006
IV2002075,I0020087,TEST 93,1,09/05/2020," 32,340.00 ",CUS006
IV2002135,I0030079,TEST 94,1,09/05/2020," 11,875.00 ",CUS055
IV2002151,I0010002,TEST 95,4,09/05/2020," 5,194.00 ",CUS006
IV2002154,I0060005,TEST 96,5,09/05/2020," 4,800.00 ",CUS007
IV2002154,I0010015,TEST 97,6,09/05/2020," 9,900.00 ",CUS007
IV2002154,I0020007,TEST 98,3,09/05/2020, 250.00 ,CUS007
IV2002154,I0010011,TEST 99,4,09/05/2020," 21,000.00 ",CUS007
IV2002154,I0170002,TEST 100,1,09/05/2020," 83,000.00 ",CUS007
IV2002154,I0010016,TEST 101,2,09/05/2020," 7,200.00 ",CUS007
IV2002154,I0040074,TEST 102,2,09/05/2020, 650.00 ,CUS007
IV2002154,I0020282,TEST 103,7,09/05/2020, 110.00 ,CUS007
IV2002194,I00004756,TEST 104,2,09/05/2020," 10,500.00 ",CUS006
IV2002227,I0070042,TEST 105,2,09/05/2020," 5,194.00 ",CUS006
IV2003018,I0020045,TEST 106,1,09/05/2020, 600.00 ,CUS006
IV2003096,I0070001,TEST 107,1,09/05/2020," 13,720.00 ",CUS006
IV2003158,I0070015,TEST 108,1,09/05/2020," 57,624.00 ",CUS006
IV2003199,I0070073,TEST 109,1,09/05/2020," 22,638.00 ",CUS006
IV2003200,I0010002,TEST 110,1,09/05/2020," 12,740.00 ",CUS006
IV2004079,I0010031,TEST 111,1,09/05/2020, 550.00 ,CUS006
IV2004083,I0050005,TEST 112,500,09/05/2020, 50.00 ,CUS054
IV2004109,I0010015,TEST 113,3,09/05/2020," 6,762.00 ",CUS006
IV2004133,I0030006,TEST 114,500,09/05/2020, 50.00 ,CUS055
IV2004137,I0020008,TEST 115,4,09/05/2020, 118.00 ,CUS006
IV2004152,I0020005,TEST 116,1,09/05/2020," 1,960.00 ",CUS006
IV2004180,I0020005,TEST 117,2,09/05/2020," 1,960.00 ",CUS006
IV2004181,I0070006,TEST 118,1,09/05/2020," 13,300.00 ",CUS006
IV2004182,I0060004,TEST 119,2,09/05/2020," 2,058.00 ",CUS006
IV2005037,I0010056,TEST 120,6,09/05/2020," 7,125.00 ",CUS018
IV2004128,I0110009,TEST 121,500,11/05/2020, 45.00 ,CUS105
IV2004158,I0110020,TEST 122,2000,11/05/2020, 30.00 ,CUS005
IV2004168,I0110017,TEST 123,60,12/05/2020, 235.00 ,CUS013
IV2004169,I00003119,TEST 124,400,12/05/2020, 187.00 ,CUS013
IV2002260,I0210012,TEST 125,1,13/05/2020," 400,000.00 ",CUS006
IV2003070,I0030039,TEST 126,2,13/05/2020," 13,230.00 ",CUS006
IV2003122,I0010023,TEST 127,1,13/05/2020," 72,750.00 ",CUS008
IV2005003,I0160001,TEST 128,100,13/05/2020, 18.00 ,CUS022
IV2005004,I0060005,TEST 129,1,13/05/2020," 4,800.00 ",CUS022
IV2005004,I0010015,TEST 130,2,13/05/2020," 9,900.00 ",CUS022
IV2002161,I00004850,TEST 131,1,18/05/2020," 62,000.00 ",CUS001
IV2003176,I0010002,TEST 132,1,18/05/2020," 61,600.00 ",CUS054
IV1908293,I0100009,TEST 133,1,19/05/2020," 190,000.00 ",CUS055
IV2002150,I0040114,TEST 134,1,19/05/2020," 17,100.00 ",CUS055
IV2002150,I0040024,TEST 135,1,19/05/2020," 15,675.00 ",CUS055
IV2002233,I0010033,TEST 136,1,19/05/2020," 6,000.00 ",CUS067
IV2002233,I0010172,TEST 137,1,19/05/2020," 6,400.00 ",CUS067
IV2002233,I0010035,TEST 138,3,19/05/2020," 6,700.00 ",CUS067
IV2002233,I0010173,TEST 139,1,19/05/2020," 10,700.00 ",CUS067
IV2002233,I0010017,TEST 140,1,19/05/2020," 7,500.00 ",CUS067
IV2002233,I0010018,TEST 141,1,19/05/2020," 6,000.00 ",CUS067
IV2002233,I0010037,TEST 142,1,19/05/2020," 9,900.00 ",CUS067
IV2002233,I0010095,TEST 143,1,19/05/2020," 12,600.00 ",CUS067
IV2002233,I0010559,TEST 144,1,19/05/2020," 9,600.00 ",CUS067
IV2003033,I0070044,TEST 145,2,19/05/2020," 7,315.00 ",CUS051
IV2003033,I0060003,TEST 146,2,19/05/2020," 8,280.00 ",CUS051
IV2003033,I0060003,TEST 147,2,19/05/2020," 5,510.00 ",CUS051
IV2003033,I0020003,TEST 148,2,19/05/2020," 1,805.00 ",CUS051
IV2003127,I00000719,TEST 149,15,19/05/2020, 47.50 ,CUS055
IV2004021,I0220005,TEST 150,100,19/05/2020, 230.00 ,CUS003
IV2005060,I0110012,TEST 151,450,19/05/2020, 38.00 ,CUS108
IV2005063,I0060015,TEST 152,1,19/05/2020," 22,100.00 ",CUS007
IV2005063,I0010040,TEST 153,1,19/05/2020," 27,200.00 ",CUS007
IV2005063,I0010054,TEST 154,1,19/05/2020," 29,750.00 ",CUS007
IV2005063,I0060117,TEST 155,1,19/05/2020," 30,345.00 ",CUS007
IV2005063,I0030117,TEST 156,4,19/05/2020," 2,975.00 ",CUS007
IV1908294,I00003573,TEST 157,1,20/05/2020," 110,000.00 ",CUS055
IV2001175,I00003356,TEST 158,1,20/05/2020," 438,000.00 ",CUS018
IV2001175,I00003357,TEST 159,6,20/05/2020," 6,000.00 ",CUS018
IV2002255,I0010126,TEST 160,2,20/05/2020," 29,000.00 ",CUS054
IV2002255,I0010127,TEST 161,2,20/05/2020," 25,500.00 ",CUS054
IV2002255,I0010128,TEST 162,2,20/05/2020," 7,800.00 ",CUS054
IV2002255,I0010129,TEST 163,2,20/05/2020," 14,000.00 ",CUS054
IV2002255,I0010130,TEST 164,2,20/05/2020," 18,500.00 ",CUS054
IV2002255,I0010131,TEST 165,2,20/05/2020," 24,000.00 ",CUS054
IV2002255,I0010014,TEST 166,4,20/05/2020, 15.00 ,CUS054
IV2002255,I0020033,TEST 167,6,20/05/2020, 50.00 ,CUS054
IV2002255,I0060016,TEST 168,2,20/05/2020," 4,500.00 ",CUS054
IV2002255,I0060017,TEST 169,2,20/05/2020," 4,000.00 ",CUS054
IV2002255,I0060018,TEST 170,2,20/05/2020," 4,100.00 ",CUS054
IV2002255,I0060019,TEST 171,4,20/05/2020," 3,000.00 ",CUS054
IV2002255,I0020032,TEST 172,870,20/05/2020, 100.00 ,CUS054
IV2002255,I0030075,TEST 173,350,20/05/2020, 70.00 ,CUS054
IV2002255,I0010132,TEST 174,2,20/05/2020," 13,500.00 ",CUS054
IV2002255,I0010133,TEST 175,2,20/05/2020," 26,000.00 ",CUS054
IV2002255,I0010134,TEST 176,2,20/05/2020," 26,000.00 ",CUS054
IV2002255,I0060013,TEST 177,2,20/05/2020," 4,600.00 ",CUS054
IV2002255,I0060014,TEST 178,2,20/05/2020," 4,600.00 ",CUS054
IV2002255,I0060015,TEST 179,2,20/05/2020," 4,600.00 ",CUS054
IV2003003,I00004928,TEST 180,1,20/05/2020," 12,000.00 ",CUS001
IV2003097,I0030117,TEST 181,2,20/05/2020," 3,500.00 ",CUS061
IV2005072,I00001831,TEST 182,50,20/05/2020, 225.00 ,CUS032
IV2005077,I0060004,TEST 183,2,20/05/2020," 1,890.00 ",CUS007
IV2005077,I0020005,TEST 184,2,20/05/2020," 1,800.00 ",CUS007
IV2003074,I0040085,TEST 185,2,21/05/2020," 1,400.00 ",CUS006
IV2003074,I0040086,TEST 186,2,21/05/2020," 1,700.00 ",CUS006
IV2003074,I0040087,TEST 187,2,21/05/2020," 1,200.00 ",CUS006
IV2003074,I0040088,TEST 188,2,21/05/2020," 1,500.00 ",CUS006
IV2003215,I0040006,TEST 189,100,21/05/2020, 100.00 ,CUS04
IV2005011,I0160001,TEST 190,250,21/05/2020, 18.00 ,CUS046
IV2005055,I0160001,TEST 191,100,21/05/2020, 18.00 ,CUS36
IV2005067,I0160001,TEST 192,500,21/05/2020, 18.00 ,CUS006
IV2005080,I00009084,TEST 193,1,21/05/2020," 21,150.00 ",CUS007
IV2005080,I0080002,TEST 194,1,21/05/2020," 13,950.00 ",CUS007
IV2005081,I00010596,TEST 195,1,21/05/2020," 22,050.00 ",CUS007
IV2005081,I00010568,TEST 196,1,21/05/2020," 14,850.00 ",CUS007
IV1910095,I0060015,TEST 197,4,22/05/2020," 2,700.00 ",CUS002
IV1910095,I00004187,TEST 198,4,22/05/2020," 6,200.00 ",CUS002
IV2001092,I00002663,TEST 199,8,22/05/2020," 3,000.00 ",CUS002
IV2001092,I0060015,TEST 200,4,22/05/2020," 2,700.00 ",CUS002
IV2002178,I00002994,TEST 201,1,22/05/2020," 111,000.00 ",CUS024
IV2002179,I00002994,TEST 202,1,22/05/2020," 111,000.00 ",CUS024
IV2002207,I0010317,TEST 203,1,22/05/2020," 27,435.00 ",CUS013
IV2002217,I0060002,TEST 204,1,22/05/2020," 25,000.00 ",CUS007
IV2002253,I0010567,TEST 205,1,22/05/2020," 7,700.00 ",CUS006
IV2002254,I00001128,TEST 206,1,22/05/2020," 9,100.00 ",CUS006
IV2003034,I0010035,TEST 207,2,22/05/2020," 6,700.00 ",CUS133
IV2003064,I00002873,TEST 208,1,22/05/2020," 85,500.00 ",CUS013
IV2003130,I00004912,TEST 209,1,22/05/2020," 32,775.00 ",CUS013
IV2004161,I0110003,TEST 210,60,22/05/2020, 252.20 ,CUS009
IV2004177,I0160001,TEST 211,600,22/05/2020, 18.00 ,CUS006
IV2005068,I0160001,TEST 212,175,22/05/2020, 15.00 ,CUS006
IV2005069,I0110005,TEST 213,300,22/05/2020, 48.00 ,CUS006
IV2005069,I0050001,TEST 214,150,22/05/2020, 45.00 ,CUS006
IV2005070,I0160001,TEST 215,200,22/05/2020, 18.00 ,CUS001
IV2005084,I0160001,TEST 216,600,22/05/2020, 17.46 ,CUS010
IV2003204,I0010023,TEST 217,1,25/05/2020," 69,840.00 ",CUS018
IV2003205,I0010023,TEST 218,1,25/05/2020," 69,840.00 ",CUS018
IV2005078,I0110009,TEST 219,300,25/05/2020, 45.00 ,CUS001
IV2005107,I0030103,TEST 220,2,26/05/2020, 900.00 ,CUS007
IV2005107,I0030443,TEST 221,2,26/05/2020," 2,700.00 ",CUS007
IV2002114,I00003902,TEST 222,1,28/05/2020," 6,200.00 ",CUS006
IV2002262,I00004755,TEST 223,4,28/05/2020," 30,500.00 ",CUS006
IV2002265,I00004822,TEST 224,4,28/05/2020," 38,500.00 ",CUS006
IV2003005,I00004357,TEST 225,1,28/05/2020," 14,000.00 ",CUS006
IV2003005,I0020007,TEST 226,12,28/05/2020, 500.00 ,CUS006
IV2003005,I00004363,TEST 227,1,28/05/2020," 1,900.00 ",CUS006
IV2003005,I00004364,TEST 228,1,28/05/2020," 160,000.00 ",CUS006
IV2003005,I0070166,TEST 229,2,28/05/2020, 450.00 ,CUS006
IV2003005,I0060009,TEST 230,2,28/05/2020, 60.00 ,CUS006
IV2003005,I00004364,TEST 231,1,28/05/2020," 160,000.00 ",CUS006
IV2003005,I0070166,TEST 232,2,28/05/2020, 450.00 ,CUS006
IV2003005,I0060009,TEST 233,2,28/05/2020, 60.00 ,CUS006
IV2003005,I0020244,TEST 234,1,28/05/2020, 30.00 ,CUS006
IV2003005,I00000661,TEST 235,2,28/05/2020," 1,600.00 ",CUS006
IV2003005,I00002714,TEST 236,14,28/05/2020, 30.00 ,CUS006
IV2003005,I0020244,TEST 237,1,28/05/2020, 30.00 ,CUS006
IV2003005,I00000661,TEST 238,2,28/05/2020," 1,600.00 ",CUS006
IV2003005,I00002714,TEST 239,14,28/05/2020, 30.00 ,CUS006
IV2003005,I00004357,TEST 240,1,28/05/2020," 14,000.00 ",CUS006
IV2003005,I0020007,TEST 241,12,28/05/2020, 500.00 ,CUS006
IV2003005,I00004363,TEST 242,1,28/05/2020," 1,900.00 ",CUS006
IV2003046,I00004887,TEST 243,2,28/05/2020," 44,500.00 ",CUS006
IV2003051,I0010025,TEST 244,1,28/05/2020," 8,820.00 ",CUS006
IV1910221,I0060015,TEST 245,8,01/06/2020," 2,700.00 ",CUS002
IV1910221,I00004187,TEST 246,8,01/06/2020," 6,200.00 ",CUS002
IV2001103,I0060015,TEST 247,4,01/06/2020," 2,700.00 ",CUS002
IV2001103,I00004187,TEST 248,4,01/06/2020," 6,200.00 ",CUS002
IV2001103,I0020004,TEST 249,4,01/06/2020," 2,000.00 ",CUS002
IV2001103,I0010032,TEST 250,2,01/06/2020," 7,100.00 ",CUS002
IV2001103,I0010033,TEST 251,2,01/06/2020," 6,000.00 ",CUS002
IV2001103,I00002669,TEST 252,2,01/06/2020," 6,200.00 ",CUS002
IV2001103,I00002670,TEST 253,2,01/06/2020," 6,200.00 ",CUS002
IV2003016,I0060005,TEST 254,6,01/06/2020," 15,300.00 ",CUS002
IV2003021,I0060009,TEST 255,2,01/06/2020," 11,300.00 ",CUS008
IV2003022,I0010084,TEST 256,2,01/06/2020," 25,650.00 ",CUS008
IV2004080,I00002867,TEST 257,375,01/06/2020, 225.00 ,CUS023
IV2004119,I0010048,TEST 258,4,01/06/2020," 7,500.00 ",CUS01
IV2004119,I0010049,TEST 259,4,01/06/2020," 4,600.00 ",CUS01
IV2005042,I0160001,TEST 260,100,01/06/2020, 18.00 ,CUS108
IV2005083,I0160001,TEST 261,1800,01/06/2020, 13.00 ,CUS002
IV2005092,I0110012,TEST 262,450,01/06/2020, 38.00 ,CUS108
IV2005113,I0060005,TEST 263,5,01/06/2020," 4,800.00 ",CUS002
IV2005113,I0020005,TEST 264,5,01/06/2020," 2,000.00 ",CUS002
IV2005123,I0010015,TEST 265,6,01/06/2020," 8,415.00 ",CUS002
IV2005124,I0010016,TEST 266,4,01/06/2020," 6,120.00 ",CUS002
IV2005127,I0110013,TEST 267,300,01/06/2020, 32.00 ,CUS152
IV2005127,I0050014,TEST 268,100,01/06/2020, 32.00 ,CUS152
IV2005133,I0010001,TEST 269,60,01/06/2020, 375.00 ,CUS003
IV2006001,I0160001,TEST 270,100,01/06/2020, 18.00 ,CUS042
IV2003008,I0160001,TEST 271,500,02/06/2020, 18.00 ,CUS016
IV2005091,I0040004,TEST 272,200,02/06/2020, 150.00 ,CUS001
IV2005098,IM0010002,TEST 273,1,02/06/2020," 2,300.00 ",CUS007
IV2002271,I0030045,TEST 274,2,04/06/2020," 9,300.00 ",CUS008
IV2002273,I0010031,TEST 275,2,04/06/2020," 9,900.00 ",CUS008
IV2002278,I0010002,TEST 276,120,04/06/2020, 500.00 ,CUS004
IV2003028,I00004128,TEST 277,1,04/06/2020," 306,000.00 ",CUS025
IV2003028,I00004129,TEST 278,1,04/06/2020," 280,000.00 ",CUS025
IV2003028,I00000379,TEST 279,4,04/06/2020," 9,200.00 ",CUS025
IV2003028,I00000766,TEST 280,4,04/06/2020," 1,100.00 ",CUS025
IV2003028,I00004130,TEST 281,2,04/06/2020," 1,200.00 ",CUS025
IV2003028,I00004131,TEST 282,8,04/06/2020," 2,200.00 ",CUS025
IV2003028,I00004133,TEST 283,2,04/06/2020," 8,100.00 ",CUS025
IV2003028,I00004132,TEST 284,2,04/06/2020," 2,700.00 ",CUS025
IV2003028,I00004134,TEST 285,8,04/06/2020, 20.00 ,CUS025
IV2003028,I0020142,TEST 286,8,04/06/2020, 15.00 ,CUS025
IV2003073,I0010140,TEST 287,2,04/06/2020," 3,700.00 ",CUS007
IV2003145,I0050010,TEST 288,1,04/06/2020," 22,100.00 ",CUS025
IV2003145,I0060014,TEST 289,1,04/06/2020," 9,000.00 ",CUS025
IV1906173,I010047,TEST 290,1,05/06/2020," 131,000.00 ",CUS004
IV1906174,I010036,TEST 291,1,05/06/2020," 157,000.00 ",CUS004
IV1910189,I010015,TEST 292,1,05/06/2020," 72,645.00 ",CUS024
IV1911100,I010084,TEST 293,2,05/06/2020," 39,900.00 ",CUS003
IV1912074,I00004114,TEST 294,1,05/06/2020," 117,000.00 ",CUS054
IV2001095,I0220018,TEST 295,828,05/06/2020, 142.00 ,CUS012
IV2001095,I0220018,TEST 296,828,05/06/2020, 142.00 ,CUS012
IV2001099,IM0020038,TEST 297,1000,05/06/2020, 80.00 ,CUS012
IV2001099,IM0020038,TEST 298,1000,05/06/2020, 80.00 ,CUS012
IV2002066,I0080031,TEST 299,1,05/06/2020," 59,850.00 ",CUS024
IV2002067,I0080031,TEST 300,1,05/06/2020," 59,850.00 ",CUS024
IV2002086,I00000251,TEST 301,1,05/06/2020," 239,200.00 ",CUS003
IV2002104,I00001904,TEST 302,550,05/06/2020, 161.00 ,CUS006
IV2002110,I0020033,TEST 303,1,05/06/2020," 25,100.00 ",CUS001
IV2002110,I0020034,TEST 304,2,05/06/2020," 6,800.00 ",CUS001
IV2002116,I00004673,TEST 305,1,05/06/2020," 80,000.00 ",CUS006
IV2002117,I0020076,TEST 306,1,05/06/2020," 103,000.00 ",CUS006
IV2002128,I0080020,TEST 307,1,05/06/2020," 34,800.00 ",CUS004
IV2002225,I00004611,TEST 308,1,05/06/2020," 27,800.00 ",CUS006
IV2002225,I00004761,TEST 309,1,05/06/2020," 144,100.00 ",CUS006
IV2002258,I0010020,TEST 310,12,05/06/2020," 1,200.00 ",CUS013
IV2002261,I00004822,TEST 311,4,05/06/2020," 38,500.00 ",CUS006
IV2002288,I00002245,TEST 312,1,05/06/2020," 55,000.00 ",CUS006
IV2002288,I00004737,TEST 313,1,05/06/2020," 4,100.00 ",CUS006
IV2002288,I0040099,TEST 314,4,05/06/2020, 120.00 ,CUS006
IV2002288,I00004738,TEST 315,1,05/06/2020," 5,400.00 ",CUS006
IV2002288,I00004739,TEST 316,1,05/06/2020," 17,000.00 ",CUS006
IV2002288,I00004736,TEST 317,16,05/06/2020," 1,200.00 ",CUS006
IV2002288,I00004740,TEST 318,1,05/06/2020, 350.00 ,CUS006
IV2002289,I0080026,TEST 319,5,05/06/2020," 12,000.00 ",CUS047
IV2003014,I00000112,TEST 320,2,05/06/2020," 2,300.00 ",CUS001
IV2003014,I0010629,TEST 321,2,05/06/2020," 3,000.00 ",CUS001
IV2003014,I0030153,TEST 322,72,05/06/2020, 100.00 ,CUS001
IV2003014,I0020032,TEST 323,160,05/06/2020, 100.00 ,CUS001
IV2003065,I0180001,TEST 324,1,05/06/2020," 30,000.00 ",CUS001
IV2003069,I0030471,TEST 325,1,05/06/2020," 15,200.00 ",CUS055
IV2003071,I0050041,TEST 326,1,05/06/2020," 4,500.00 ",CUS006
IV2003142,I0030019,TEST 327,2,05/06/2020," 33,320.00 ",CUS006
IV2003144,I0030859,TEST 328,1,05/06/2020," 1,800.00 ",CUS006
IV2003146,I0030002,TEST 329,3,05/06/2020, 400.00 ,CUS001
IV2003146,I0030001,TEST 330,1,05/06/2020," 3,600.00 ",CUS001
IV2003146,I0070036,TEST 331,1,05/06/2020," 10,000.00 ",CUS001
IV2003168,I00007606,TEST 332,2,05/06/2020," 70,000.00 ",CUS006
IV2003169,I0050014,TEST 333,1,05/06/2020," 10,000.00 ",CUS006
IV2003223,I0010001,TEST 334,12,05/06/2020," 2,200.00 ",CUS009
IV2003230,I0030424,TEST 335,1,05/06/2020," 6,000.00 ",CUS006
IV2003242,I0040032,TEST 336,2,05/06/2020," 14,900.00 ",CUS001
IV2003252,I00003485,TEST 337,4,05/06/2020," 2,000.00 ",CUS006
IV2003253,I0010061,TEST 338,2,05/06/2020," 9,500.00 ",CUS006
IV2003260,I0020001,TEST 339,8,05/06/2020," 5,000.00 ",CUS001
IV2003263,IM0020042,TEST 340,200,05/06/2020, 200.00 ,CUS003
IV2003275,I0010020,TEST 341,24,05/06/2020," 1,200.00 ",CUS016
IV2003276,I0010600,TEST 342,4,05/06/2020," 1,500.00 ",CUS054
IV2003276,I0010601,TEST 343,8,05/06/2020," 3,000.00 ",CUS054
IV2003276,I0010602,TEST 344,8,05/06/2020," 1,300.00 ",CUS054
IV2003276,I00000043,TEST 345,76,05/06/2020, 40.00 ,CUS054
IV2005020,I0010001,TEST 346,2,05/06/2020," 6,365.00 ",CUS055
IV2005090,I0060006,TEST 347,4,05/06/2020," 5,220.00 ",CUS067
IV2002109,I00004832,TEST 348,1,06/06/2020," 86,300.00 ",CUS001
IV2003015,I0010334,TEST 349,2,06/06/2020," 19,000.00 ",CUS001
IV2003015,I0010335,TEST 350,2,06/06/2020," 22,000.00 ",CUS001
IV2006003,I00001831,TEST 351,25,06/06/2020, 225.00 ,CUS032
IV2006003,I00002867,TEST 352,100,06/06/2020, 225.00 ,CUS032
IV2002035,I0080020,TEST 353,2,08/06/2020," 33,060.00 ",CUS013
